Casa Diablo,,,
Production and Injection Totals,,,
Year,Month,"Water (kilograms times 1,000)","Injection (kilograms times 1,000)"
1984,7,"2,093","2,077"
1984,8,715,715
1984,9,"17,326","18,084"
1984,10,"52,951","52,951"
1984,11,"1,185,043","894,397"
1984,12,"59,660","59,660"
1985,1,"97,659","97,658"
1985,2,"113,846","113,892"
1985,3,"298,418","298,418"
1985,4,"56,911","56,912"
1985,5,"195,658","195,774"
1985,6,"433,771","433,823"
1985,7,"410,699","409,668"
1985,8,"397,601","397,464"
1985,9,"466,755","466,545"
1985,10,"566,867","561,894"
1985,11,"452,341","452,295"
1985,12,"349,875","349,830"
1986,1,"541,049","541,044"
1986,2,"483,765","483,936"
1986,3,"508,314","508,173"
1986,4,"557,394","557,418"
1986,5,"555,417","556,761"
1986,6,"463,759","463,182"
1986,7,"527,032","527,262"
1986,8,"567,852","567,588"
1986,9,"308,906","307,551"
1986,10,"471,222","471,174"
1986,11,"539,307","538,794"
1986,12,"552,823","552,060"
1987,1,"618,586","618,586"
1987,2,"552,281","552,281"
1987,3,"631,930","626,947"
1987,4,"566,396","566,439"
1987,5,"562,147","563,342"
1987,6,"570,868","570,732"
1987,7,"397,241","567,438"
1987,8,"483,516","481,018"
1987,9,"559,088","558,411"
1987,10,"580,707","580,680"
1987,11,"598,052","597,942"
1987,12,"633,978","633,847"
1988,1,"646,478","654,561"
1988,2,"463,620","471,680"
1988,3,"616,356","616,944"
1988,4,"568,218","568,611"
1988,5,"581,389","581,711"
1988,6,"529,041","531,037"
1988,7,"514,391","580,783"
1988,8,"583,700","581,389"
1988,9,"565,011","557,201"
1988,10,"538,342","525,895"
1988,11,"521,554","501,252"
1988,12,"595,708","572,930"
1989,1,"592,977","560,669"
1989,2,"526,250","489,990"
1989,3,"580,937","528,790"
1989,4,"557,986","528,970"
1989,5,"562,870","542,589"
1989,6,"548,077","534,566"
1989,7,"563,946","556,268"
1989,8,"588,742","566,189"
1989,9,"562,464","477,603"
1989,10,"571,806","562,955"
1989,11,"595,522","583,053"
1989,12,"619,425","602,802"
1990,1,"659,628","648,818"
1990,2,"598,541","586,484"
1990,3,"433,595","418,700"
1990,4,"596,065","551,315"
1990,5,"686,871","651,417"
1990,6,"669,674","642,129"
1990,7,"467,737","461,694"
1990,8,"517,897","534,565"
1990,9,"273,336","259,132"
1990,10,"370,340","350,424"
1990,11,"496,681","445,392"
1990,12,"1,200,866","1,121,444"
1991,1,"1,923,309","1,868,507"
1991,2,"1,764,648","1,676,181"
1991,3,"2,285,980","2,198,792"
1991,4,"2,051,576","2,110,325"
1991,5,"2,037,363","1,585,907"
1991,6,"1,993,239","1,849,216"
1991,7,"2,019,766","1,950,983"
1991,8,"1,945,698","1,880,783"
1991,9,"2,028,082","1,903,518"
1991,10,"2,184,424","2,093,150"
1991,11,"2,115,976","2,029,143"
1991,12,"2,188,159","2,120,582"
1992,1,"1,921,100","2,120,961"
1992,2,"1,955,129","2,567,178"
1992,3,"2,063,105","2,121,199"
1992,4,"2,008,714","2,052,772"
1992,5,"2,173,248","2,121,199"
1992,6,"2,034,714","2,052,177"
1992,7,"2,065,716","2,121,199"
1992,8,"2,220,927","2,121,199"
1992,9,"2,191,939","2,052,177"
1992,10,"2,214,183","2,121,199"
1992,11,"1,905,466","2,052,772"
1992,12,"1,850,094","2,121,199"
1993,1,"2,058,644","2,121,199"
1993,2,"1,828,482","1,914,132"
1993,3,"1,841,204","2,121,310"
1993,4,"2,042,306","2,052,879"
1993,5,"2,035,561","2,121,310"
1993,6,"2,009,098","2,052,879"
1993,7,"1,924,173","2,121,310"
1993,8,"2,028,743","2,607,962"
1993,9,"1,953,284","1,735,468"
